date,team1,team1pts,team2,team2pts
2015-02-09,UTA,100.0,NOP,96.0
2015-02-09,GSW,89.0,PHI,84.0
2015-02-09,ORL,80.0,WAS,96.0
2015-02-10,SAC,86.0,CHI,104.0
2015-02-10,DET,106.0,CHO,78.0
2015-02-10,DEN,106.0,LAL,96.0
2015-02-10,BRK,86.0,MEM,95.0
2015-02-10,HOU,127.0,PHO,118.0
2015-02-11,ATL,88.0,BOS,89.0
2015-02-11,MIA,93.0,CLE,113.0
2015-02-11,UTA,82.0,DAL,87.0
2015-02-11,SAS,104.0,DET,87.0
2015-02-11,HOU,95.0,LAC,110.0
2015-02-11,SAC,103.0,MIL,111.0
2015-02-11,GSW,94.0,MIN,91.0
2015-02-11,IND,106.0,NOP,93.0
2015-02-11,MEM,89.0,OKC,105.0
2015-02-11,NYK,83.0,ORL,89.0
2015-02-11,LAL,86.0,POR,102.0
2015-02-11,WAS,93.0,TOR,95.0
2015-02-12,CLE,98.0,CHI,113.0
2015-02-19,SAS,115.0,LAC,119.0
2015-02-19,DAL,89.0,OKC,104.0
2015-02-20,TOR,105.0,ATL,80.0
2015-02-20,HOU,100.0,DAL,111.0
2015-02-20,CHI,91.0,DET,100.0
2015-02-20,SAS,99.0,GSW,110.0
2015-02-20,BRK,114.0,LAL,105.0
2015-02-20,DEN,81.0,MIL,89.0
2015-02-20,PHO,109.0,MIN,111.0
2015-02-20,MIA,111.0,NYK,87.0
2015-02-20,NOP,84.0,ORL,95.0
2015-02-20,IND,106.0,PHI,95.0
2015-02-20,BOS,101.0,SAC,109.0
2015-02-20,POR,76.0,UTA,92.0
2015-02-20,CLE,127.0,WAS,89.0
2015-02-21,PHO,107.0,CHI,112.0
2015-02-21,OKC,110.0,CHO,103.0
2015-02-21,TOR,76.0,HOU,98.0
2015-02-21,SAC,99.0,LAC,126.0
2015-02-21,NOP,105.0,MIA,91.0
2015-02-22,CHO,81.0,DAL,92.0
2015-02-22,WAS,89.0,DET,106.0
2015-02-22,GSW,98.0,IND,104.0
2015-02-22,BOS,111.0,LAL,118.0
2015-02-22,ATL,97.0,MIL,86.0
2015-02-22,CLE,101.0,NYK,83.0
2015-02-22,DEN,94.0,OKC,119.0
2015-02-22,PHI,98.0,ORL,103.0
2015-02-22,MEM,98.0,POR,92.0
2015-02-23,MIL,71.0,CHI,87.0
2015-02-23,BRK,110.0,DEN,82.0
2015-02-23,MIN,102.0,HOU,113.0
2015-02-23,MEM,90.0,LAC,87.0
2015-02-23,PHI,108.0,MIA,119.0
2015-02-23,TOR,97.0,NOP,100.0
2015-02-23,BOS,115.0,PHO,110.0
2015-02-23,SAS,81.0,UTA,90.0
2015-02-24,TOR,92.0,DAL,99.0
2015-02-24,CLE,102.0,DET,93.0
2015-02-24,IND,92.0,OKC,105.0
2015-02-24,GSW,114.0,WAS,107.0
2015-02-25,DAL,87.0,ATL,104.0
2015-02-25,NYK,94.0,BOS,115.0
2015-02-25,CHO,98.0,CHI,86.0
2015-02-25,PHO,110.0,DEN,96.0
2015-02-25,LAC,105.0,HOU,110.0
2015-02-25,PHI,88.0,MIL,104.0
2015-02-25,WAS,77.0,MIN,97.0
2015-02-25,BRK,96.0,NOP,102.0
2015-02-25,MIA,93.0,ORL,90.0
2015-02-25,SAS,95.0,POR,111.0
2015-02-25,MEM,90.0,SAC,102.0
2015-02-25,LAL,100.0,UTA,97.0
2015-02-26,GSW,99.0,CLE,110.0
2015-02-26,OKC,113.0,PHO,117.0
2015-02-27,ORL,88.0,ATL,95.0
2015-02-27,CHO,98.0,BOS,106.0
2015-02-27,MIN,89.0,CHI,96.0
2015-02-27,UTA,104.0,DEN,82.0
2015-02-27,NYK,121.0,DET,115.0
2015-02-27,BRK,98.0,HOU,102.0
2015-02-27,CLE,86.0,IND,93.0
2015-02-27,MIL,93.0,LAL,101.0
2015-02-27,LAC,97.0,MEM,79.0
2015-02-27,MIA,102.0,NOP,104.0
2015-02-27,WAS,81.0,PHI,89.0
2015-02-27,OKC,112.0,POR,115.0
2015-02-27,SAS,107.0,SAC,96.0
2015-02-27,GSW,113.0,TOR,89.0
2015-02-28,BRK,104.0,DAL,94.0
2015-02-28,ATL,93.0,MIA,91.0
2015-02-28,MEM,101.0,MIN,97.0
2015-02-28,TOR,98.0,NYK,103.0
2015-02-28,SAS,101.0,PHO,74.0
2015-02-28,MIL,75.0,UTA,82.0
2015-02-28,DET,95.0,WAS,99.0
2015-03-01,GSW,106.0,BOS,101.0
2015-03-01,LAC,96.0,CHI,86.0
2015-03-01,NOP,99.0,DEN,92.0
2015-03-01,CLE,103.0,HOU,105.0
2015-03-01,PHI,74.0,IND,94.0
2015-03-01,OKC,108.0,LAL,101.0
2015-03-01,CHO,98.0,ORL,83.0
2015-03-01,POR,110.0,SAC,99.0
2015-03-02,GSW,108.0,BRK,110.0
2015-03-02,NOP,93.0,DAL,102.0
2015-03-02,PHO,98.0,MIA,115.0
2015-03-02,LAC,110.0,MIN,105.0
2015-03-02,TOR,114.0,PHI,103.0
2015-03-03,HOU,96.0,ATL,104.0
2015-03-03,WAS,92.0,CHI,97.0
2015-03-03,LAL,103.0,CHO,104.0
2015-03-03,BOS,79.0,CLE,110.0
2015-03-03,MIL,95.0,DEN,106.0
2015-03-03,UTA,93.0,MEM,82.0
2015-03-03,SAC,124.0,NYK,86.0
2015-03-04,UTA,84.0,BOS,85.0
2015-03-04,CHO,115.0,BRK,91.0
2015-03-04,MIL,93.0,GSW,102.0
2015-03-04,MEM,102.0,HOU,100.0
2015-03-04,NYK,82.0,IND,105.0
2015-03-04,POR,98.0,LAC,93.0
2015-03-04,LAL,94.0,MIA,100.0
2015-03-04,DEN,100.0,MIN,85.0
2015-03-04,DET,85.0,NOP,88.0
2015-03-04,PHI,118.0,OKC,123.0
2015-03-04,PHO,105.0,ORL,100.0
2015-03-04,SAC,85.0,SAS,112.0
2015-03-04,CLE,120.0,TOR,112.0
2015-03-05,OKC,105.0,CHI,108.0
2015-03-05,DAL,75.0,POR,94.0
2015-03-06,CLE,97.0,ATL,106.0
2015-03-06,PHO,108.0,BRK,100.0
2015-03-06,TOR,94.0,CHO,103.0
2015-03-06,DAL,89.0,GSW,104.0
2015-03-06,DET,93.0,HOU,103.0
2015-03-06,CHI,84.0,IND,98.0
2015-03-06,LAL,90.0,MEM,97.0
2015-03-06,BOS,104.0,NOP,98.0
2015-03-06,SAC,114.0,ORL,119.0
2015-03-06,UTA,89.0,PHI,83.0
2015-03-06,DEN,111.0,SAS,120.0
2015-03-06,MIA,97.0,WAS,99.0
2015-03-07,PHO,79.0,CLE,89.0
2015-03-07,HOU,114.0,DEN,100.0
2015-03-07,SAC,109.0,MIA,114.0
2015-03-07,WAS,85.0,MIL,91.0
2015-03-07,POR,113.0,MIN,121.0
2015-03-07,MEM,89.0,NOP,95.0
2015-03-07,IND,92.0,NYK,86.0
2015-03-07,ATL,84.0,PHI,92.0
2015-03-08,UTA,95.0,BRK,88.0
2015-03-08,CHO,108.0,DET,101.0
2015-03-08,LAC,98.0,GSW,106.0
2015-03-08,DAL,100.0,LAL,93.0
2015-03-08,TOR,104.0,OKC,108.0
2015-03-08,BOS,98.0,ORL,103.0
2015-03-08,CHI,105.0,SAS,116.0
2015-03-09,SAC,105.0,ATL,130.0
2015-03-09,MEM,101.0,CHI,91.0
2015-03-09,WAS,95.0,CHO,69.0
2015-03-09,NYK,78.0,DEN,106.0
2015-03-09,MIN,76.0,LAC,89.0
2015-03-09,BOS,100.0,MIA,90.0
2015-03-09,NOP,114.0,MIL,103.0
2015-03-09,GSW,98.0,PHO,80.0
2015-03-10,NOP,111.0,BRK,91.0
2015-03-10,CLE,127.0,DAL,94.0
2015-03-10,ORL,86.0,IND,118.0
2015-03-10,DET,85.0,LAL,93.0
2015-03-10,TOR,107.0,SAS,117.0
2015-03-10,NYK,82.0,UTA,87.0
2015-03-11,MEM,92.0,BOS,95.0
2015-03-11,SAC,113.0,CHO,106.0
2015-03-11,ATL,102.0,DEN,115.0
2015-03-11,DET,98.0,GSW,105.0
2015-03-11,BRK,98.0,MIA,104.0
2015-03-11,ORL,91.0,MIL,97.0
2015-03-11,LAC,120.0,OKC,108.0
2015-03-11,CHI,104.0,PHI,95.0
2015-03-11,MIN,97.0,PHO,106.0
2015-03-11,HOU,100.0,POR,105.0
2015-03-12,MIL,103.0,IND,109.0
2015-03-12,NYK,101.0,LAL,94.0
2015-03-12,CLE,128.0,SAS,125.0
2015-03-12,HOU,91.0,UTA,109.0
2015-03-12,MEM,87.0,WAS,107.0
2015-03-13,ORL,88.0,BOS,95.0
2015-03-13,CHI,91.0,CHO,101.0
2015-03-13,LAC,99.0,DAL,129.0
2015-03-13,GSW,103.0,DEN,114.0
2015-03-13,MIN,99.0,OKC,113.0
2015-03-13,SAC,107.0,PHI,114.0
2015-03-13,ATL,96.0,PHO,87.0
2015-03-13,DET,99.0,POR,118.0
2015-03-13,MIA,92.0,TOR,102.0
2015-03-14,NYK,94.0,GSW,125.0
2015-03-14,BOS,93.0,IND,89.0
2015-03-14,MIL,83.0,MEM,96.0
2015-03-14,BRK,94.0,PHI,87.0
2015-03-14,DET,85.0,UTA,88.0
2015-03-14,SAC,97.0,WAS,113.0
2015-03-15,HOU,100.0,LAC,98.0
2015-03-15,ATL,91.0,LAL,86.0
2015-03-15,DEN,118.0,NOP,111.0
2015-03-15,CHI,100.0,OKC,109.0
2015-03-15,CLE,123.0,ORL,108.0
2015-03-15,NYK,89.0,PHO,102.0
2015-03-15,MIN,97.0,SAS,123.0
2015-03-15,POR,113.0,TOR,97.0
2015-03-16,PHI,89.0,BOS,108.0
2015-03-16,OKC,115.0,DAL,119.0
2015-03-16,LAL,105.0,GSW,108.0
2015-03-16,TOR,117.0,IND,98.0
2015-03-16,DEN,81.0,MEM,92.0
2015-03-16,CLE,92.0,MIA,106.0
2015-03-16,BRK,122.0,MIN,106.0
2015-03-16,ATL,110.0,SAC,103.0
2015-03-16,CHO,66.0,UTA,94.0
2015-03-16,POR,97.0,WAS,105.0
2015-03-17,MEM,95.0,DET,105.0
2015-03-17,ORL,94.0,HOU,107.0
2015-03-17,CHO,92.0,LAC,99.0
2015-03-17,MIL,84.0,NOP,85.0
2015-03-17,SAS,100.0,NYK,104.0
2015-03-18,IND,86.0,CHI,103.0
2015-03-18,BRK,92.0,CLE,117.0
2015-03-18,ORL,102.0,DAL,107.0
2015-03-18,ATL,95.0,GSW,114.0
2015-03-18,POR,104.0,MIA,108.0
2015-03-18,SAS,114.0,MIL,103.0
2015-03-18,BOS,118.0,OKC,122.0
2015-03-18,DET,83.0,PHI,94.0
2015-03-18,LAC,116.0,SAC,105.0
2015-03-18,MIN,100.0,TOR,105.0
2015-03-18,WAS,88.0,UTA,84.0
2015-03-19,DEN,108.0,HOU,118.0
2015-03-19,UTA,80.0,LAL,73.0
2015-03-19,MIN,95.0,NYK,92.0
2015-03-19,NOP,72.0,PHO,74.0
2015-03-20,MIL,127.0,BRK,129.0
2015-03-20,TOR,92.0,CHI,108.0
2015-03-20,IND,92.0,CLE,95.0
2015-03-20,MEM,112.0,DAL,101.0
2015-03-20,NOP,96.0,GSW,112.0
